,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,WeightedEnsemble_L2,0.764,0.25,,,
1,Pseudo-Label,WeightedEnsemble_L2,0.772,0.25,0.5,False,
2,Pseudo-Label,WeightedEnsemble_L2,0.744,0.25,0.75,False,
3,Pseudo-Label,WeightedEnsemble_L2,0.768,0.25,0.9,False,
4,Pseudo-Label,WeightedEnsemble_L2,0.76,0.25,0.95,False,
5,Vanilla,WeightedEnsemble_L2,0.744,0.5,,,
6,Pseudo-Label,WeightedEnsemble_L2,0.752,0.5,0.5,False,
7,Pseudo-Label,WeightedEnsemble_L2,0.744,0.5,0.75,False,
8,Pseudo-Label,XGBoost,0.748,0.5,0.9,False,
9,Pseudo-Label,WeightedEnsemble_L2,0.758,0.5,0.95,False,
10,Vanilla,WeightedEnsemble_L2,0.7053333333333334,0.75,,,
11,Pseudo-Label,WeightedEnsemble_L2,0.7213333333333334,0.75,0.5,False,
12,Pseudo-Label,LightGBMXT,0.7333333333333333,0.75,0.75,False,
13,Pseudo-Label,WeightedEnsemble_L2,0.7413333333333333,0.75,0.9,False,
14,Pseudo-Label,NeuralNetFastAI,0.6973333333333334,0.75,0.95,False,
15,Vanilla,XGBoost,0.6536842105263158,0.95,,,
16,Pseudo-Label,WeightedEnsemble_L2,0.6221052631578947,0.95,0.5,False,
17,Pseudo-Label,XGBoost,0.6389473684210526,0.95,0.75,False,
18,Pseudo-Label,XGBoost,0.6389473684210526,0.95,0.9,False,
19,Pseudo-Label,XGBoost,0.6389473684210526,0.95,0.95,False,
