,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,WeightedEnsemble_L2,0.9772,0.25,,,
1,Pseudo-Label,WeightedEnsemble_L2,0.9756,0.25,0.5,True,
2,Pseudo-Label,WeightedEnsemble_L2,0.9764,0.25,0.75,True,
3,Pseudo-Label,WeightedEnsemble_L2,0.977,0.25,0.9,True,
4,Pseudo-Label,WeightedEnsemble_L2,0.977,0.25,0.95,True,
5,Pseudo-Label,WeightedEnsemble_L2,0.974,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.9778,0.25,0.75,False,
7,Pseudo-Label,WeightedEnsemble_L2,0.9784,0.25,0.9,False,
8,Pseudo-Label,WeightedEnsemble_L2,0.9776,0.25,0.95,False,
9,Vanilla,WeightedEnsemble_L2,0.9716,0.5,,,
10,Pseudo-Label,WeightedEnsemble_L2,0.9704,0.5,0.5,True,
11,Pseudo-Label,WeightedEnsemble_L2,0.9709,0.5,0.75,True,
12,Pseudo-Label,WeightedEnsemble_L2,0.9715,0.5,0.9,True,
13,Pseudo-Label,WeightedEnsemble_L2,0.9705,0.5,0.95,True,
14,Pseudo-Label,WeightedEnsemble_L2,0.9706,0.5,0.5,False,
15,Pseudo-Label,WeightedEnsemble_L2,0.9699,0.5,0.75,False,
16,Pseudo-Label,WeightedEnsemble_L2,0.9702,0.5,0.9,False,
17,Pseudo-Label,WeightedEnsemble_L2,0.972,0.5,0.95,False,
18,Vanilla,WeightedEnsemble_L2,0.9494,0.75,,,
19,Pseudo-Label,WeightedEnsemble_L2,0.9482,0.75,0.5,True,
20,Pseudo-Label,WeightedEnsemble_L2,0.95,0.75,0.75,True,
21,Pseudo-Label,WeightedEnsemble_L2,0.9443333333333334,0.75,0.9,True,
22,Pseudo-Label,WeightedEnsemble_L2,0.9464,0.75,0.95,True,
23,Pseudo-Label,WeightedEnsemble_L2,0.9502666666666667,0.75,0.5,False,
24,Pseudo-Label,WeightedEnsemble_L2,0.9486,0.75,0.75,False,
25,Pseudo-Label,WeightedEnsemble_L2,0.9421333333333334,0.75,0.9,False,
26,Pseudo-Label,WeightedEnsemble_L2,0.9493333333333334,0.75,0.95,False,
27,Vanilla,WeightedEnsemble_L2,0.8308421052631579,0.95,,,
28,Pseudo-Label,WeightedEnsemble_L2,0.8348421052631579,0.95,0.5,True,
29,Pseudo-Label,WeightedEnsemble_L2,0.841842105263158,0.95,0.75,True,
30,Pseudo-Label,WeightedEnsemble_L2,0.8319473684210527,0.95,0.9,True,
31,Pseudo-Label,WeightedEnsemble_L2,0.8338421052631579,0.95,0.95,True,
32,Pseudo-Label,WeightedEnsemble_L2,0.8273157894736842,0.95,0.5,False,
33,Pseudo-Label,NeuralNetMXNet,0.8288947368421052,0.95,0.75,False,
34,Pseudo-Label,WeightedEnsemble_L2,0.8332105263157895,0.95,0.9,False,
35,Pseudo-Label,WeightedEnsemble_L2,0.8272105263157895,0.95,0.95,False,
