,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse
0,Vanilla,WeightedEnsemble_L2,0.6946666666666667,0.25,,
1,Pseudo-Label,LightGBMLarge,0.72,0.25,0.5,True
2,Pseudo-Label,CatBoost,0.7053333333333334,0.25,0.75,True
3,Pseudo-Label,NeuralNetMXNet,0.6693333333333333,0.25,0.9,True
4,Pseudo-Label,WeightedEnsemble_L2,0.732,0.25,0.95,True
5,Pseudo-Label,LightGBMLarge,0.712,0.25,0.5,False
6,Pseudo-Label,WeightedEnsemble_L2,0.7213333333333334,0.25,0.75,False
7,Pseudo-Label,LightGBMXT,0.704,0.25,0.9,False
8,Pseudo-Label,WeightedEnsemble_L2,0.74,0.25,0.95,False
9,Vanilla,LightGBM,0.744,0.5,,
10,Pseudo-Label,NeuralNetFastAI,0.75,0.5,0.5,True
11,Pseudo-Label,XGBoost,0.768,0.5,0.75,True
12,Pseudo-Label,XGBoost,0.752,0.5,0.9,True
13,Pseudo-Label,WeightedEnsemble_L2,0.748,0.5,0.95,True
14,Pseudo-Label,XGBoost,0.758,0.5,0.5,False
15,Pseudo-Label,WeightedEnsemble_L2,0.76,0.5,0.75,False
16,Pseudo-Label,LightGBMXT,0.75,0.5,0.9,False
17,Pseudo-Label,WeightedEnsemble_L2,0.754,0.5,0.95,False
18,Vanilla,WeightedEnsemble_L2,0.752,0.75,,
19,Pseudo-Label,WeightedEnsemble_L2,0.74,0.75,0.5,True
20,Pseudo-Label,CatBoost,0.756,0.75,0.75,True
21,Pseudo-Label,WeightedEnsemble_L2,0.756,0.75,0.9,True
22,Pseudo-Label,WeightedEnsemble_L2,0.76,0.75,0.95,True
23,Pseudo-Label,WeightedEnsemble_L2,0.74,0.75,0.5,False
24,Pseudo-Label,CatBoost,0.756,0.75,0.75,False
25,Pseudo-Label,WeightedEnsemble_L2,0.76,0.75,0.9,False
26,Pseudo-Label,WeightedEnsemble_L2,0.752,0.75,0.95,False
27,Vanilla,WeightedEnsemble_L2,0.72,0.95,,
28,Pseudo-Label,WeightedEnsemble_L2,0.72,0.95,0.5,True
29,Pseudo-Label,WeightedEnsemble_L2,0.7,0.95,0.75,True
30,Pseudo-Label,WeightedEnsemble_L2,0.76,0.95,0.9,True
31,Pseudo-Label,WeightedEnsemble_L2,0.74,0.95,0.95,True
32,Pseudo-Label,WeightedEnsemble_L2,0.76,0.95,0.5,False
33,Pseudo-Label,WeightedEnsemble_L2,0.74,0.95,0.75,False
34,Pseudo-Label,WeightedEnsemble_L2,0.72,0.95,0.9,False
35,Pseudo-Label,WeightedEnsemble_L2,0.7,0.95,0.95,False
